emp_no,first_name,last_name,hire_date,to_date,title,birth_date
10095,Hilari,Morton,1986-07-15,9999-01-01,Senior Staff,1965-01-03
10122,Ohad,Esposito,1992-12-23,9999-01-01,Technique Leader,1965-01-19
10291,Dipayan,Seghrouchni,1986-09-29,9999-01-01,Senior Staff,1965-01-23
10476,Kokou,Iisaka,1987-09-20,9999-01-01,Senior Staff,1965-01-01
10663,Teunis,Noriega,1993-01-23,9999-01-01,Technique Leader,1965-01-09
10663,Teunis,Noriega,1993-01-23,9999-01-01,Technique Leader,1965-01-09
10762,Lech,Himler,1992-01-21,9999-01-01,Senior Staff,1965-01-19
10933,Juyoung,Seghrouchni,1993-08-02,9999-01-01,Senior Engineer,1965-01-24
12155,Keiichiro,Glinert,1993-09-16,9999-01-01,Senior Engineer,1965-01-21
12408,Rasiah,Sudkamp,1995-04-18,9999-01-01,Senior Engineer,1965-01-10
12643,Morrie,Schurmann,1998-07-23,9999-01-01,Staff,1965-01-30
13499,Kazuhiko,Sidou,1985-11-25,9999-01-01,Technique Leader,1965-01-16
14075,Denny,Tchuente,1989-09-01,9999-01-01,Engineer,1965-01-03
14104,Sudhanshu,Demian,1986-01-02,9999-01-01,Senior Staff,1965-01-03
14127,Magdalena,Cannard,1994-04-22,9999-01-01,Senior Engineer,1965-01-10
14158,Caolyn,Setiz,1990-02-06,9999-01-01,Senior Staff,1965-01-22
14476,Sastry,Marrevee,1989-10-19,9999-01-01,Engineer,1965-01-19
14907,Nakhoon,Luga,1986-12-18,9999-01-01,Senior Staff,1965-01-14
15050,Nikolaos,Kruskal,1990-12-17,9999-01-01,Senior Engineer,1965-01-18
15058,Bouchung,Bugrara,1986-05-31,9999-01-01,Senior Staff,1965-01-30
15413,Arvin,Rabejac,1993-09-22,9999-01-01,Senior Engineer,1965-01-17
16461,Remmert,Schahn,1986-09-06,9999-01-01,Senior Staff,1965-01-14
16528,Gaurav,Swick,1992-04-07,9999-01-01,Engineer,1965-01-21
17013,Morris,Garigliano,1994-05-28,9999-01-01,Senior Staff,1965-01-15
17206,Berry,DeMori,1986-02-25,9999-01-01,Senior Engineer,1965-01-02
17369,Yaghout,Kenevan,1991-02-09,9999-01-01,Senior Engineer,1965-01-31
17369,Yaghout,Kenevan,1991-02-09,9999-01-01,Senior Engineer,1965-01-31
17447,Zengping,Boreale,1990-11-10,9999-01-01,Staff,1965-01-11
17731,Gennady,Roison,1989-12-06,9999-01-01,Engineer,1965-01-16
17970,Filipp,Carrere,1989-01-09,9999-01-01,Technique Leader,1965-01-06
17988,Mabhin,Calkin,1989-11-30,9999-01-01,Senior Engineer,1965-01-31
18021,Adil,Matzke,1987-05-08,9999-01-01,Senior Engineer,1965-01-07
18424,Filipp,Rousseau,1987-09-21,9999-01-01,Senior Engineer,1965-01-19
18583,Stafford,Honglei,1990-12-18,9999-01-01,Staff,1965-01-03
18617,Surveyors,Crouzet,1986-06-28,9999-01-01,Senior Staff,1965-01-21
18810,Taiji,Jarecki,1987-04-13,9999-01-01,Senior Engineer,1965-01-09
19236,Elzbieta,Morris,1988-01-07,9999-01-01,Senior Engineer,1965-01-24
19350,Satoru,Yoshizawa,1991-01-18,9999-01-01,Senior Staff,1965-01-19
19803,Ziva,Kowalchuk,1987-06-13,9999-01-01,Senior Engineer,1965-01-30
20100,Utz,Heuter,1986-06-15,9999-01-01,Senior Staff,1965-01-18
20128,Kazunori,Peak,1989-09-02,9999-01-01,Senior Staff,1965-01-23
20129,Rafael,Skafidas,1989-01-25,9999-01-01,Senior Engineer,1965-01-10
20248,Vidar,Demri,1992-07-14,9999-01-01,Staff,1965-01-12
20313,Candida,Benveniste,1992-07-02,9999-01-01,Engineer,1965-01-24
20500,Christoph,Trystram,1992-07-30,9999-01-01,Senior Staff,1965-01-30
20885,Otmar,Rothenberg,1989-03-14,9999-01-01,Senior Engineer,1965-01-21
