emp_no,first_name,last_name,from_date,title
10001,Georgi,Facello,1986-06-26,Senior Engineer
10004,Chirstian,Koblick,1986-12-01,Senior Engineer
10009,Sumant,Peac,1985-02-18,Assistant Engineer
10018,Kazuhide,Peha,1987-04-03,Engineer
10035,Alain,Chappelet,1988-09-05,Senior Engineer
10053,Sanjiv,Zschoche,1994-11-13,Senior Staff
10058,Berhard,McFarlin,1988-04-25,Senior Staff
10066,Kwee,Schusler,1986-02-26,Assistant Engineer
10067,Claudi,Stavenow,1987-03-04,Engineer
10070,Reuven,Garigliano,1985-10-14,Technique Leader
10072,Hironoby,Sidou,1989-05-21,Engineer
10076,Erez,Ritzmann,1996-07-15,Senior Engineer
10088,Jungsoon,Syrzycki,1988-09-02,Staff
10100,Hironobu,Haraldson,1987-09-21,Senior Staff
10103,Akemi,Birch,1998-01-12,Engineer
10126,Kayoko,Valtorta,1985-09-08,Staff
10129,Armond,Peir,1996-01-16,Technique Leader
10130,Nishit,Casperson,1988-06-21,Senior Engineer
10134,Diederik,Siprelle,1987-12-12,Senior Engineer
10138,Perry,Shimshoni,1992-03-03,Senior Engineer
10150,Zhenbing,Perng,1986-11-16,Engineer
10153,Heekeun,Majewski,2000-01-08,Assistant Engineer
10157,Nigel,Aloisi,1997-12-10,Senior Engineer
10198,Pranav,Furedi,1985-08-31,Senior Engineer
10215,Xiaobin,Duclos,1991-11-23,Senior Staff
10224,Leon,Trogemann,1988-01-09,Senior Engineer
10233,Lein,Vendrig,1994-04-29,Staff
10258,Basil,Ishibashi,1985-05-17,Assistant Engineer
10272,Yishai,Cannane,1997-10-23,Staff
10282,Hercules,Benzmuller,1996-05-02,Engineer
10283,Kauko,Birjandi,1988-05-25,Engineer
10326,Masali,Czap,1998-09-02,Staff
10340,Djelloul,Laventhal,1988-03-30,Senior Staff
10347,Pradeep,Kaminger,1998-02-20,Staff
10355,Satyanarayana,Cochrane,1996-01-26,Staff
10356,Vasilis,Standera,1995-06-26,Senior Staff
10364,Nakhoon,Dengi,1985-11-14,Senior Engineer
10372,Anneli,Frijda,1985-07-30,Technique Leader
10387,Parto,Wrigley,1994-01-07,Senior Staff
10396,Sibyl,Rahier,1986-01-11,Senior Engineer
10402,Volkmar,Ebeling,1987-01-02,Technique Leader
10404,Prodip,Rosti,1988-08-28,Senior Engineer
10426,Arunas,Luce,1985-07-06,Technique Leader
10429,Martien,Improta,1988-09-23,Senior Engineer
10432,Hisao,Tiemann,1990-08-13,Senior Staff
10451,Bodh,Ranta,1988-03-12,Assistant Engineer
10453,Tsvetan,Matzel,1985-04-02,Staff
10463,Ung,Zaiane,1994-02-17,Staff
10486,Amstein,Kossowski,1987-10-08,Senior Engineer
10494,Yakkov,Servieres,1991-12-18,Engineer
10504,Xiong,Varker,1999-10-19,Staff
10512,Udi,Gihr,1989-11-28,Staff
10522,Marke,Cesareni,1986-12-12,Senior Staff
10548,Ramalingam,Gunderson,1986-07-04,Senior Staff
10564,Jianhao,Thisen,1995-11-23,Senior Engineer
10623,Aleksander,Danlos,1992-01-15,Senior Engineer
10628,Krisda,Krogh,1987-03-14,Senior Engineer
10631,Inderjeet,Chaudhuri,1994-10-18,Engineer
10642,Hirochika,Narlikar,1998-10-05,Engineer
10653,Otmar,Feinberg,1987-04-30,Senior Engineer
10671,Parviz,Rebaine,1995-09-14,Staff
10676,Valeri,Danley,1999-09-04,Engineer
10693,Berhard,Daescu,1986-01-08,Staff
10702,Bader,Szemeredi,1991-01-14,Senior Engineer
10718,Adib,Rullman,1988-07-21,Engineer
10726,Zita,Minakawa,1992-02-25,Senior Engineer
10734,Sachar,Erdi,1995-12-19,Engineer
10745,Poorav,Ranze,1988-01-23,Senior Engineer
10749,King,Brendel,1985-09-26,Engineer
10767,Monique,Doering,1997-07-15,Staff
10768,Ishfaq,Candan,1985-07-04,Engineer
10778,Selwyn,Merey,1986-07-04,Senior Staff
10791,Tadahiko,Sgarro,1988-07-30,Engineer
10795,Supot,Naudin,1993-05-03,Staff
10808,Chenxi,Leijenhorst,1987-03-07,Senior Engineer
10835,Tomoyuki,Kermarrec,1995-08-22,Engineer
10836,Jianhua,Leivant,1987-08-10,Senior Staff
10844,Dipayan,Koprowski,1997-04-25,Engineer
10847,Theirry,Danley,1986-07-25,Senior Staff
10848,Fen,Bratsberg,1985-04-20,Senior Engineer
10878,Lakshmi,Deville,1997-04-25,Staff
10879,Muzhong,Chleq,1985-08-15,Senior Engineer
10883,Shimshon,Champarnaud,1996-12-28,Engineer
10909,Georgi,Atchley,1993-12-26,Engineer
10921,Mara,Bahi,1986-07-27,Senior Engineer
10924,Hironoby,Atchley,1988-08-14,Staff
10927,Gal,Scallan,1986-09-12,Senior Staff
10936,Mountaz,Schicker,1990-05-09,Senior Staff
10943,Berna,Skafidas,1993-05-22,Engineer
10965,Eckart,Braunschweig,1986-07-29,Senior Staff
10969,Premal,Noriega,1994-05-12,Senior Engineer
10974,Muneo,Papsdorf,1999-05-17,Senior Engineer
10986,Masako,Schiper,1985-10-11,Technique Leader
10988,Chinya,Deyuan,1985-06-19,Senior Engineer
10989,Sumali,Candan,1985-07-20,Senior Staff
10990,Shin,Foote,1990-08-06,Technique Leader
11009,Alper,Axelband,1986-09-09,Staff
11012,Taegyun,Speckmann,1996-07-06,Staff
11019,Leon,Huttel,1992-05-24,Senior Engineer
11021,Srinidhi,Henders,1998-02-02,Staff
11027,Remzi,Cappello,1986-05-07,Engineer
11031,Ottavia,Walstra,1985-10-24,Senior Staff
11037,Lansing,Maliniak,1988-01-28,Engineer
11038,Jinya,Beidas,1985-07-15,Senior Staff
11042,Gou,Breugel,1993-06-21,Senior Engineer
11048,Jaques,Demke,1999-05-27,Senior Staff
11050,Elvis,Katiyar,1986-05-06,Staff
11051,Przemyslawa,Erol,1991-03-27,Senior Engineer
11070,Adib,Raney,1985-07-24,Engineer
11081,Barry,Boyle,1985-06-17,Senior Staff
11085,Hailing,Thummel,1996-02-10,Senior Engineer
11100,Berna,Cochrane,1986-10-13,Staff
11106,Aris,Iwayama,1985-08-31,Engineer
11112,Boaz,Mukaidono,1995-04-28,Staff
11113,Shahab,Peng,1985-11-30,Staff
11121,Vugranam,Kakkad,1992-10-31,Senior Engineer
11133,Nalini,Azulay,1994-03-06,Technique Leader
